"particular, слово номер: 1","<p align=""left"">Главный перевод: специфический<br>Часть речи: <font color=""#0000ff"">adjective</font><br>особый<br>частный<br>специфический<br>отдельный<br>особенный<br>индивидуальный<br>исключительный<br>привередливый<br>детальный<br>тщательный<br>подробный<br>заслуживающий особого внимания<br>обстоятельный<br>разборчивый<br>Часть речи: <font color=""#0000ff"">noun</font><br>деталь<br>частность<br>подробность<br>подробный отчет<br>Часть речи: <font color=""#0000ff"">adjective</font><br>Def: used to single out an individual member of a specified group or class.,<br>Example: the action seems to discriminate against a particular group of companies<br>Def: especially great or intense.,<br>Example: when handling or checking cash the cashier should exercise particular care<br>Def: insisting that something should be correct or suitable in every detail; fastidious.,<br>Example: she is very particular about cleanliness<br>Часть речи: <font color=""#0000ff"">noun</font><br>Def: an individual item, as contrasted with a universal quality.,<br>Example: None<br>Def: a detail.,<br>Example: he is wrong in every particular<br></p>"
"regards, слово номер: 2","<p align=""left"">Главный перевод: С уважением<br>Часть речи: <font color=""#0000ff"">noun</font><br>привет<br>поклон<br></p>"
"enhancement, слово номер: 3","<p align=""left"">Главный перевод: улучшение<br>Часть речи: <font color=""#0000ff"">noun</font><br>улучшение<br>совершенствование<br>усовершенствование<br>Часть речи: <font color=""#0000ff"">noun</font><br>Def: an increase or improvement in quality, value, or extent.,<br>Example: the enhancement of civic amenities<br></p>"
"exhausted, слово номер: 4","<p align=""left"">Главный перевод: измученный<br>Часть речи: <font color=""#0000ff"">adjective</font><br>измученный<br>обессиленный<br>истощенный<br>исчерпанный<br>уставший<br>изнуренный<br>выдохшийся<br>Часть речи: <font color=""#0000ff"">adjective</font><br>Def: drained of one's physical or mental resources; very tired.,<br>Example: I was cold and exhausted<br>Def: (of resources or reserves) completely used up.,<br>Example: Karl spat, his patience suddenly exhausted<br></p>"
"hold, слово номер: 5","<p align=""left"">verbs forms: held <br>phrasal verbs: hold against, hold back, hold down, hold forth, hold in, hold off, hold on, hold out, hold out for, hold out on, hold over, hold to, hold together, hold up, hold with, <br>Главный перевод: держать<br>Часть речи: <font color=""#0000ff"">verb</font><br>занимать<br>держать<br>удерживать<br>проводить<br>держаться<br>иметь<br>вести<br>считать<br>владеть<br>сохранять<br>задерживать<br>сдерживать<br>устраивать<br>вмещать<br>придерживать<br>выдерживать<br>стоять<br>продержать<br>полагать<br>содержать в себе<br>оборонять<br>останавливать<br>резервировать<br>придерживаться мнения<br>овладевать<br>иметь силу<br>оставаться в силе<br>праздновать<br>не поддаваться<br>заключать в себе<br>держать в тюрьме<br>отмечать<br>оказывать влияние на кого-л.<br>Часть речи: <font color=""#0000ff"">noun</font><br>владение<br>трюм<br>захват<br>удерживание<br>власть<br>пауза<br>опора<br>влияние<br>ушко<br>фермата<br>способность понимания<br>понимание<br>то, за что можно ухватиться<br>Часть речи: <font color=""#0000ff"">verb</font><br>Def: grasp, carry, or support with one's hands.,<br>Example: she was holding a brown leather suitcase<br>Def: keep or detain (someone).,<br>Example: the police were holding him on a murder charge<br>Def: remain secure, intact, or in position without breaking or giving way.,<br>Example: the boat's anchor would not hold<br>Def: contain or be capable of containing (a specified amount).,<br>Example: the tank held twenty-four gallons<br>Def: have in one's possession.,<br>Example: the managing director still holds fifty shares in the company<br>Def: keep or reserve for someone.,<br>Example: a reservation can be held for twenty-four hours<br>Def: prevent from going ahead or occurring.,<br>Example: hold your fire!<br>Def: arrange and take part in (a meeting or conversation).,<br>Example: a meeting was held at the church<br>Часть речи: <font color=""#0000ff"">noun</font><br>Def: an act or manner of grasping something; a grip.,<br>Example: he caught hold of her arm<br>Def: power or control.,<br>Example: he discovered that Tom had some kind of hold over his father<br>Def: a fortress.,<br>Example: None<br>Def: a large space in the lower part of a ship or aircraft in which cargo is stowed.,<br>Example: None<br></p>"
"catch, слово номер: 6","<p align=""left"">verbs forms: caught <br>phrasal verbs: catch on, catch out, catch up, catch up with, <br>Главный перевод: ловить<br>Часть речи: <font color=""#0000ff"">verb</font><br>поймать<br>ловить<br>уловить<br>догнать<br>зацепиться<br>схватывать<br>зацепить<br>схватить<br>застать<br>расслышать<br>попасть<br>подлавливать<br>задевать<br>перебивать<br>заражаться<br>задерживать<br>загораться<br>поймать в ловушку<br>ударить<br>провести<br>подхватывать болезнь<br>успевать<br>поддевать<br>привлекать внимание<br>прерывать<br>защемить<br>прихлопнуть<br>застигать<br>покрываться льдом<br>Часть речи: <font color=""#0000ff"">noun</font><br>улов<br>выгода<br>добыча<br>защелка<br>захват<br>ловушка<br>задвижка<br>уловка<br>хитрость<br>стопор<br>упор<br>поимка<br>арретир<br>шпингалет<br>щеколда<br>тормоз<br>подковырка<br>стяжной болт<br>запирающее приспособление<br>захватывающее приспособление<br>выгодное приобретение<br>приостановка<br>Часть речи: <font color=""#0000ff"">verb</font><br>Def: intercept and hold (something which has been thrown, propelled, or dropped).,<br>Example: she threw the bottle into the air and caught it again<br>Def: capture (a person or animal that tries or would try to escape).,<br>Example: we hadn't caught a single rabbit<br>Def: (of an object) accidentally become entangled or trapped in something.,<br>Example: the charm bracelet always caught on her clothing<br>Def: reach in time and board (a train, bus, or aircraft).,<br>Example: they caught the 12:15 from Chicago<br>Def: engage (a person's interest or imagination).,<br>Example: it was the business scheme that had caught his imagination<br>Def: strike (someone) on a part of the body.,<br>Example: Ben caught him on the chin with an uppercut<br>Def: contract (an illness) through infection or contagion.,<br>Example: he served in Macedonia, where he caught malaria<br>Def: become ignited, due to contact with flame, and start burning.,<br>Example: the rafters have caught<br>Часть речи: <font color=""#0000ff"">noun</font><br>Def: an act of catching something, typically a ball.,<br>Example: None<br>Def: a device for securing something such as a door, window, or box.,<br>Example: the window catch was rusty<br>Def: a hidden problem or disadvantage in an apparently ideal situation.,<br>Example: there's a catch in it somewhere<br>Def: an unevenness in a person's voice caused by emotion.,<br>Example: there was a catch in Anne's voice<br>Def: a round, typically one with words arranged to produce a humorous effect.,<br>Example: None<br></p>"
"lie, слово номер: 7","<p align=""left"">verbs forms: lies lying lay lain <br>phrasal verbs: lie ahead, lie around, lie behind, lie in, lie off, lie to, lie up, lie with, <br>Главный перевод: ложь<br>Часть речи: <font color=""#0000ff"">noun</font><br>ложь<br>обман<br>положение<br>направление<br>логово<br>ошибочное убеждение<br>Часть речи: <font color=""#0000ff"">verb</font><br>лежать<br>лгать<br>находиться<br>солгать<br>заключаться<br>залегать<br>относиться<br>пролегать<br>быть обманчивым<br>быть расположенным<br>брехать<br>пробыть недолго<br>признаваться законным<br>простираться<br>Часть речи: <font color=""#0000ff"">verb</font><br>Def: (of a person or animal) be in or assume a horizontal or resting position on a supporting surface.,<br>Example: the man lay face downward on the grass<br>Def: be, remain, or be kept in a specified state.,<br>Example: the church lies in ruins today<br>Def: (of a place) be situated in a specified position or direction.,<br>Example: the small town of Swampscott lies about ten miles north of Boston<br>Def: (of an action, charge, or claim) be admissible or sustainable.,<br>Example: an action for restitution would lie for money paid in breach of the law<br>Def: tell a lie or lies.,<br>Example: why had Wesley lied about his visit to Philadelphia?<br>Часть речи: <font color=""#0000ff"">noun</font><br>Def: the way, direction, or position in which something lies.,<br>Example: he was familiarizing himself with the lie of the streets<br>Def: an intentionally false statement.,<br>Example: the whole thing is a pack of lies<br></p>"
"treat, слово номер: 8","<p align=""left"">Главный перевод: удовольствие<br>Часть речи: <font color=""#0000ff"">noun</font><br>удовольствие<br>угощение<br>развлечение<br>наслаждение<br>пикник<br>экскурсия<br>Часть речи: <font color=""#0000ff"">verb</font><br>лечить<br>относиться<br>обращаться<br>обрабатывать<br>трактовать<br>угощать<br>обходиться<br>полечить<br>вести переговоры<br>иметь дело<br>пригласить<br>договариваться<br>подлечивать<br>обогащать<br>подвергать действию<br>Часть речи: <font color=""#0000ff"">verb</font><br>Def: behave toward or deal with in a certain way.,<br>Example: she had been brutally treated<br>Def: give medical care or attention to; try to heal or cure.,<br>Example: the two were treated for cuts and bruises<br>Def: apply a process or a substance to (something) to protect or preserve it or to give it particular properties.,<br>Example: linen creases badly unless it is treated with the appropriate finish<br>Def: provide someone with (food, drink, or entertainment) at one's own expense.,<br>Example: the old man had treated him to a drink or two<br>Def: negotiate terms with someone, especially an opponent.,<br>Example: propagandists claimed that he was treating with the enemy<br>Часть речи: <font color=""#0000ff"">noun</font><br>Def: an event or item that is out of the ordinary and gives great pleasure.,<br>Example: he wanted to take her to the movies as a treat<br></p>"
"further, слово номер: 9","<p align=""left"">Главный перевод: способствовать<br>Часть речи: <font color=""#0000ff"">adverb</font><br>далее<br>дальше<br>кроме того<br>затем<br>далеко<br>более того<br>намного<br>гораздо<br>на большом расстоянии<br>Часть речи: <font color=""#0000ff"">verb</font><br>способствовать<br>содействовать<br>продвигать<br>Часть речи: <font color=""#0000ff"">adjective</font><br>дальнейший<br>дополнительный<br>дальний<br>добавочный<br>далекий<br>отдаленный<br>более отдаленный<br>Часть речи: <font color=""#0000ff"">adverb</font><br>Def: at, to, or by a greater distance (used to indicate the extent to which one thing or person is or becomes distant from another).,<br>Example: for some time I had wanted to move further from London<br>Def: over a greater expanse of space or time; for a longer way.,<br>Example: we had walked further than I realized<br>Часть речи: <font color=""#0000ff"">adjective</font><br>Def: more distant in space than something else of the same kind.,<br>Example: two men were standing at the further end of the clearing<br>Def: additional to what already exists or has already taken place, been done, or been accounted for.,<br>Example: cook for a further ten minutes<br>Часть речи: <font color=""#0000ff"">verb</font><br>Def: help the progress or development of (something); promote.,<br>Example: he had depended on using them to further his own career<br></p>"
"near, слово номер: 10","<p align=""left"">Главный перевод: возле<br>Часть речи: <font color=""#0000ff"">preposition</font><br>возле<br>около<br>у<br>близ<br>к<br>Часть речи: <font color=""#0000ff"">adverb</font><br>недалеко<br>около<br>поблизости<br>близ<br>близко<br>почти<br>подле<br>чуть не<br>едва не<br>Часть речи: <font color=""#0000ff"">adjective</font><br>близкий<br>ближайший<br>ближний<br>близлежащий<br>прижимистый<br>левый<br>кратчайший<br>сходный<br>доставшийся с трудом<br>трудный<br>скупой<br>кропотливый<br>мелочный<br>тесно связанный<br>прямой<br>приблизительно правильный<br>Часть речи: <font color=""#0000ff"">verb</font><br>приближаться<br>подходить<br>Часть речи: <font color=""#0000ff"">adverb</font><br>Def: at or to a short distance away; nearby.,<br>Example: a bomb exploding somewhere near<br>Def: a short time away in the future.,<br>Example: the time for his retirement was drawing near<br>Def: almost.,<br>Example: a near perfect fit<br>Def: almost.,<br>Example: I near fell out of the chair<br>Часть речи: <font color=""#0000ff"">preposition</font><br>Def: at or to a short distance away from (a place).,<br>Example: the parking lot near the sawmill<br>Def: a short period of time from.,<br>Example: near the end of the war<br>Def: close to (a state); verging on.,<br>Example: she gave a tiny smile, brave but near tears<br>Def: similar to.,<br>Example: a shape near to the original<br>Часть речи: <font color=""#0000ff"">adjective</font><br>Def: located a short distance away.,<br>Example: a big house in the near distance<br>Def: only a short time ahead.,<br>Example: the conflict is unlikely to be resolved in the near future<br>Def: similar.,<br>Example: walking in these shoes is the nearest thing to floating on air<br>Def: located on the side of a vehicle that is normally closest to the curb.,<br>Example: the near right-hand end window of the trailer<br>Def: (of a person) stingy; miserly.,<br>Example: None<br>Часть речи: <font color=""#0000ff"">verb</font><br>Def: come near to (someone or something); approach.,<br>Example: soon the cab would be nearing State Street<br></p>"
